nom,nom2,adresse,retty,url,fb,mail
"Quintessence",,"東京都","https://retty.me/area/PRE13/ARE16/SUB1301/100000000909/","http://www.quintessence.jp/",,,
"レフェルヴェソ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000009154/","http://www.leffervescence.jp/","https://www.facebook.com/leffervescence.tokyo/",,
"ロオジエ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000000215/","http://www.shiseido.co.jp/losier/",,,
"Joel Robuchon",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100000448860/","http://www.robuchon.jp/",,,
"ターブル ドゥ ジョエル・ロブショ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100000011683/","http://www.robuchon.jp/ebisu/la_table.html",,,
"トリエ ドゥ ジョエルロブショ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000002061/","http://www.robuchon.jp/",,,
"マノワ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1403/100000059117/","http://manoir-restaurant.jp/",,,
"ベージュ アラン・デュカス トウキョウ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000006511/","http://www.beige-tokyo.com/",,,
"エスキ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000716183/","http://www.esquissetokyo.com/",,,
"シェ・イノ",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1501/100000015541/","http://www.chezinno.jp/",,,
"ロリレージュ",,"東京都","https://retty.me/area/PRE13/ARE23/SUB2301/100001205389/","http://www.aoyama-florilege.jp/",,,
"オザミトーキョー 丸ビル",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1504/100000612643/","https://auxamis.com/tokyo",,,
"モナリザ恵比寿店",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100000014762/","http://www.monnalisa.co.jp/",,,
"・ボンヌターブル",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1503/100000875867/","http://labonnetable.jp/",,,
"資生堂パーラー 銀座本店",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000450869/","http://parlour.shiseido.co.jp/",,,
"Air",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100001232485/","http://restaurant-air.com/",,,
"レストラン・サカキ",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1501/100000005939/","http://www.r-sakaki.com/","https://www.facebook.com/%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%82%B5%E3%82%AB%E3%82%AD-454205071322690/",,
"シンシア",,"東京都","https://retty.me/area/PRE13/ARE23/SUB109/100001273391/",,"https://www.facebook.com/fr.sincere/",,
"ペ",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1503/100001175520/","http://lapaix-m.jp/",,,
"レストラン リューズ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000027681/","http://restaurant-ryuzu.com/","https://www.facebook.com/restaurantryuzu/",,
"オギノ",,"東京都","https://retty.me/area/PRE13/ARE20/SUB2006/100000002647/","http://www.french-ogino.com/",,,
"LATURE",,"東京都","https://retty.me/area/PRE13/ARE8/SUB805/100001289649/","https://www.lature.jp/","https://www.facebook.com/lature.restaurant/",,
"ブロック",,"東京都","https://retty.me/area/PRE13/ARE7/SUB703/100000738588/","http://www.gamin2008.com/shopinfo/blocks.html",,,
"ル・ブルギニオ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000005784/","http://le-bourguignon.jp/",,,
"モナリザ 丸の内店",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1504/100000029116/","http://www.monnalisa.co.jp/","https://www.facebook.com/monnalisamarubill/",,
"エクアトゥール",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1405/100000081856/","http://equa-teur.com/",,,
"アベ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100000741469/",,,,
"ルカンケ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1404/100000014102/","http://requinquer.jp/",,,
"・フィネ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB1601/100000704942/","http://www.la-fins.com/",,,
"ルグドゥノム ブション リヨネ",,"東京都","https://retty.me/area/PRE13/ARE6/SUB604/100000014206/","http://www.lyondelyon.com/index.php","https://www.facebook.com/LugdunumBouchonLyonnais/",,
